hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,total_guests,total_nights,total_revenue,arrival_month_num,arrival_date,season,traveler_type,is_weekend_booking,has_special_request
City Hotel,1,398,2018,December,47,7,1,7,2,3,0,BB,ITA,Complementary,TA/TO,0,0,0,A,A,0,No Deposit,0,0,0,Transient,76.65,0,0,Canceled,2016-01-08,5,8,613.2,12,2018-12-07,Winter,Group/Family,1,0
Resort Hotel,0,59,2018,February,19,4,3,0,3,0,0,BB,PRT,Offline TA/TO,Direct,0,0,0,B,B,1,No Deposit,0,0,0,Transient-Party,68.54,2,0,Check-Out,2018-07-07,3,3,205.62,2,2018-02-04,Winter,Group/Family,1,0
City Hotel,1,232,2018,September,9,21,3,0,2,0,0,SC,PRT,Corporate,TA/TO,0,0,0,G,A,0,No Deposit,0,0,30,Transient,98.67,0,0,Canceled,2016-02-06,2,3,296.01,9,2018-09-21,Autumn,Leisure,1,0
Resort Hotel,0,8,2017,September,50,15,4,5,2,0,0,BB,PRT,Direct,Corporate,1,0,5,C,A,0,No Deposit,7,0,5,Transient,70.51,0,0,Check-Out,2017-09-08,2,9,634.59,9,2017-09-15,Autumn,Leisure,1,0
City Hotel,0,141,2017,December,31,18,5,2,4,0,0,BB,SWE,Online TA,TA/TO,1,0,4,A,A,0,No Deposit,5,0,0,Transient-Party,48.01,0,2,Check-Out,2017-08-25,4,7,336.07,12,2017-12-18,Winter,Group/Family,1,1
Resort Hotel,1,204,2016,May,39,2,0,2,2,0,0,BB,POL,Online TA,Direct,1,1,1,A,E,0,No Deposit,4,0,0,Transient,100.29,0,0,Canceled,2016-05-14,2,2,200.58,5,2016-05-02,Spring,Leisure,0,0
City Hotel,0,16,2016,September,20,27,1,1,1,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,F,1,No Deposit,5,0,0,Transient,121.8,0,0,Check-Out,2017-10-10,1,2,243.6,9,2016-09-27,Autumn,Leisure,1,0
City Hotel,1,353,2017,February,42,14,0,0,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,D,3,No Deposit,5,0,0,Transient,58.46,0,0,Canceled,2015-09-02,2,0,0.0,2,2017-02-14,Winter,Leisure,0,0
City Hotel,0,95,2018,August,1,10,1,3,2,0,0,SC,BRA,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,3,0,0,Contract,103.98,1,5,Check-Out,2019-03-26,2,4,415.92,8,2018-08-10,Summer,Leisure,1,1
City Hotel,0,49,2018,June,42,5,4,3,2,0,0,Undefined,PRT,Online TA,Corporate,0,0,0,A,A,0,No Deposit,2,0,0,Transient,137.52,0,0,Check-Out,2017-09-20,2,7,962.64,6,2018-06-05,Summer,Leisure,1,0
City Hotel,0,49,2018,September,19,12,5,4,2,0,0,BB,Unknown,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,0,3,Transient,82.57,1,0,Check-Out,2017-12-14,2,9,743.13,9,2018-09-12,Autumn,Leisure,1,0
City Hotel,1,166,2017,November,52,10,4,1,2,0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,3,0,0,Transient,70.33,1,0,Canceled,2018-08-26,2,5,351.65,11,2017-11-10,Autumn,Leisure,1,0
City Hotel,0,136,2016,June,14,26,2,4,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,F,0,No Deposit,3,0,0,Transient-Party,108.18,0,0,Check-Out,2018-08-07,2,6,649.08,6,2016-06-26,Summer,Leisure,1,0
City Hotel,1,156,2018,July,20,18,2,2,2,0,0,BB,Unknown,Online TA,TA/TO,1,0,2,A,A,0,No Deposit,2,0,0,Transient,166.91,0,3,Canceled,2018-10-23,2,4,667.64,7,2018-07-18,Summer,Leisure,1,1
City Hotel,0,35,2017,March,33,28,2,2,3,0,0,SC,ESP,Offline TA/TO,TA/TO,0,0,0,F,A,4,Non Refund,0,0,0,Transient,56.12,0,2,Check-Out,2018-04-12,3,4,224.48,3,2017-03-28,Spring,Group/Family,1,1
Resort Hotel,0,79,2018,June,20,6,4,2,4,0,0,BB,ESP,Offline TA/TO,GDS,0,0,0,A,G,0,No Deposit,0,0,2,Transient,121.82,0,0,No-Show,2019-06-12,4,6,730.92,6,2018-06-06,Summer,Group/Family,1,0
City Hotel,1,153,2019,June,44,28,0,5,1,1,0,BB,FRA,Online TA,TA/TO,1,0,5,G,B,0,No Deposit,3,0,0,Transient,108.57,0,3,Canceled,2017-08-13,2,5,542.85,6,2019-06-28,Summer,Leisure,0,1
Resort Hotel,1,178,2017,April,5,22,1,4,1,0,0,BB,CHN,Online TA,Corporate,0,1,0,C,A,1,No Deposit,3,0,15,Transient,65.85,0,0,Canceled,2018-08-14,1,5,329.25,4,2017-04-22,Spring,Leisure,1,0
Resort Hotel,0,8,2017,November,51,12,2,2,2,0,0,SC,ITA,Online TA,Direct,0,0,0,A,D,3,No Deposit,6,0,0,Transient-Party,87.45,1,3,Check-Out,2018-10-21,2,4,349.8,11,2017-11-12,Autumn,Leisure,1,1
Resort Hotel,1,300,2018,March,52,24,4,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,C,F,0,No Deposit,0,0,0,Transient,76.21,0,0,Canceled,2018-08-30,2,6,457.26,3,2018-03-24,Spring,Leisure,1,0
City Hotel,1,19,2019,August,12,28,0,4,4,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,6,0,0,Transient,128.8,0,2,Canceled,2018-01-13,4,4,515.2,8,2019-08-28,Summer,Group/Family,0,1
Resort Hotel,1,34,2018,November,14,1,3,1,2,0,0,SC,DEU,Direct,TA/TO,0,0,0,F,A,1,No Deposit,0,0,3,Transient-Party,63.87,0,3,Canceled,2017-06-27,2,4,255.48,11,2018-11-01,Autumn,Leisure,1,1
City Hotel,0,36,2019,November,27,7,4,6,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,A,0,Refundable,0,0,0,Contract,93.55,0,0,Check-Out,2015-10-07,3,10,935.5,11,2019-11-07,Autumn,Group/Family,1,0
City Hotel,1,269,2017,October,32,12,3,2,2,0,0,BB,USA,Online TA,TA/TO,0,1,0,B,E,0,No Deposit,2,0,0,Transient-Party,82.47,0,3,Canceled,2016-10-12,2,5,412.35,10,2017-10-12,Autumn,Leisure,1,1
City Hotel,0,140,2019,April,46,7,0,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,G,B,2,No Deposit,10,0,0,Transient,63.97,0,0,Check-Out,2015-10-24,2,2,127.94,4,2019-04-07,Spring,Leisure,0,0
Resort Hotel,0,55,2017,October,23,9,2,4,4,0,0,BB,ITA,Offline TA/TO,Direct,0,0,0,A,B,1,No Deposit,10,0,3,Group,47.94,0,4,Check-Out,2016-04-02,4,6,287.64,10,2017-10-09,Autumn,Group/Family,1,1
City Hotel,0,62,2016,May,42,20,1,4,2,0,0,BB,DEU,Online TA,Direct,1,0,1,A,A,1,No Deposit,6,0,0,Transient-Party,127.62,0,2,Check-Out,2017-10-10,2,5,638.1,5,2016-05-20,Spring,Leisure,1,1
City Hotel,0,110,2019,November,30,15,2,3,2,1,0,HB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,3,4,3,Transient-Party,71.51,1,0,Check-Out,2016-12-08,3,5,357.55,11,2019-11-15,Autumn,Corporate,1,0
Resort Hotel,0,185,2019,September,51,23,2,1,2,0,0,BB,DNK,Complementary,TA/TO,0,0,0,D,A,0,No Deposit,6,0,0,Transient,156.12,1,1,Check-Out,2016-12-20,2,3,468.36,9,2019-09-23,Autumn,Leisure,1,1
Resort Hotel,0,97,2016,October,40,12,5,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,1,0,1,D,A,0,No Deposit,9,0,5,Transient,126.24,1,0,Check-Out,2016-05-27,2,6,757.44,10,2016-10-12,Autumn,Leisure,1,0
City Hotel,0,5,2017,March,14,13,0,4,1,0,0,BB,AUT,Online TA,Direct,0,0,0,A,D,0,No Deposit,6,0,0,Transient,82.5,0,1,Check-Out,2019-05-29,1,4,330.0,3,2017-03-13,Spring,Last-Minute,0,1
City Hotel,1,138,2016,August,43,22,0,5,3,0,0,BB,USA,Direct,TA/TO,0,0,0,A,A,0,No Deposit,6,0,0,Transient-Party,153.26,0,0,Canceled,2017-03-14,3,5,766.3,8,2016-08-22,Summer,Group/Family,0,0
Resort Hotel,1,160,2017,October,23,4,2,1,2,2,0,BB,ESP,Online TA,TA/TO,1,0,2,A,D,1,No Deposit,6,0,0,Transient,126.87,0,0,Canceled,2016-06-20,4,3,380.61,10,2017-10-04,Autumn,Group/Family,1,0
City Hotel,0,7,2017,November,1,10,1,7,1,2,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,Non Refund,0,0,0,Transient,49.24,0,1,Check-Out,2017-05-07,3,8,393.92,11,2017-11-10,Autumn,Group/Family,1,1
City Hotel,1,69,2019,January,6,28,3,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,G,0,No Deposit,4,0,0,Group,77.88,0,1,Canceled,2015-12-06,2,6,467.28,1,2019-01-28,Winter,Leisure,1,1
City Hotel,0,160,2018,December,50,24,5,4,3,0,0,BB,ESP,Direct,TA/TO,0,0,0,B,A,0,Refundable,8,0,0,Transient,85.7,0,1,Check-Out,2018-11-02,3,9,771.3,12,2018-12-24,Winter,Group/Family,1,1
Resort Hotel,0,51,2018,February,49,3,1,4,1,2,0,BB,GBR,Direct,TA/TO,1,0,2,A,D,0,No Deposit,9,0,0,Transient,54.28,0,1,Check-Out,2019-04-20,3,5,271.4,2,2018-02-03,Winter,Group/Family,1,1
Resort Hotel,0,2,2018,August,35,24,0,1,2,1,0,BB,GBR,Online TA,TA/TO,1,1,3,A,D,0,No Deposit,1,0,0,Transient,175.04,0,1,Check-Out,2017-02-27,3,1,175.04,8,2018-08-24,Summer,Group/Family,0,1
Resort Hotel,1,300,2018,September,31,5,2,2,2,0,0,BB,CHN,Online TA,Undefined,0,0,0,D,F,0,No Deposit,0,0,0,Transient,104.42,0,1,Canceled,2019-03-30,2,4,417.68,9,2018-09-05,Autumn,Leisure,1,1
Resort Hotel,0,52,2018,March,12,4,1,2,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,1,0,D,A,0,No Deposit,6,0,0,Transient,98.96,0,3,Check-Out,2015-09-13,2,3,296.88,3,2018-03-04,Spring,Leisure,1,1
City Hotel,1,172,2018,February,11,19,3,2,3,0,0,BB,ESP,Offline TA/TO,TA/TO,1,1,1,A,B,0,No Deposit,2,0,0,Transient,70.71,0,1,Canceled,2017-06-24,3,5,353.55,2,2018-02-19,Winter,Group/Family,1,1
City Hotel,0,20,2017,October,11,15,2,3,2,2,0,BB,ESP,Complementary,TA/TO,1,2,2,A,A,2,No Deposit,1,0,0,Transient,72.04,2,0,Check-Out,2018-03-12,4,5,360.2,10,2017-10-15,Autumn,Group/Family,1,0
City Hotel,1,220,2018,June,36,28,4,3,2,0,1,BB,Unknown,Direct,TA/TO,1,1,2,B,B,0,No Deposit,1,0,0,Transient,142.68,0,2,Canceled,2018-06-24,3,7,998.76,6,2018-06-28,Summer,Group/Family,1,1
City Hotel,0,82,2018,March,29,26,3,7,2,0,0,BB,PRT,Online TA,Direct,1,0,1,A,C,0,No Deposit,2,0,0,Transient-Party,92.36,0,0,Check-Out,2018-06-06,2,10,923.6,3,2018-03-26,Spring,Leisure,1,0
City Hotel,0,8,2019,September,46,23,4,1,2,1,1,BB,PRT,Direct,TA/TO,1,0,4,F,A,1,Non Refund,6,0,0,Transient,93.91,0,1,Check-Out,2019-06-20,4,5,469.55,9,2019-09-23,Autumn,Group/Family,1,1
Resort Hotel,0,40,2019,October,1,7,1,3,3,0,0,BB,Unknown,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,0,5,Transient,126.57,0,0,Check-Out,2017-03-12,3,4,506.28,10,2019-10-07,Autumn,Group/Family,1,0
City Hotel,0,68,2018,August,24,22,4,5,2,0,0,BB,PRT,Offline TA/TO,Direct,0,0,0,C,B,0,No Deposit,5,0,0,Transient,128.01,0,2,Check-Out,2016-04-01,2,9,1152.09,8,2018-08-22,Summer,Leisure,1,1
Resort Hotel,0,98,2018,April,46,3,4,0,2,0,0,BB,DEU,Offline TA/TO,TA/TO,1,0,3,D,A,0,No Deposit,0,0,0,Group,82.71,1,0,Check-Out,2015-10-23,2,4,330.84,4,2018-04-03,Spring,Leisure,1,0
City Hotel,0,353,2016,January,45,25,2,2,2,0,0,SC,DEU,Online TA,GDS,0,0,0,E,D,1,No Deposit,6,0,0,Transient,79.15,0,0,No-Show,2015-11-06,2,4,316.6,1,2016-01-25,Winter,Leisure,1,0
City Hotel,1,29,2018,September,37,27,4,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,2,A,A,0,No Deposit,1,0,0,Transient,123.12,0,1,Canceled,2018-04-27,2,5,615.6,9,2018-09-27,Autumn,Leisure,1,1
City Hotel,0,77,2017,August,17,16,0,6,2,0,0,BB,FRA,Direct,TA/TO,0,0,0,A,E,0,No Deposit,6,0,0,Transient,130.04,0,1,Check-Out,2016-04-23,2,6,780.24,8,2017-08-16,Summer,Leisure,0,1
City Hotel,1,30,2016,August,4,15,3,3,2,1,0,HB,GBR,Offline TA/TO,GDS,0,0,0,C,E,1,No Deposit,0,0,0,Transient-Party,166.49,1,0,Canceled,2017-04-03,3,6,998.94,8,2016-08-15,Summer,Group/Family,1,0
Resort Hotel,1,108,2017,October,1,18,0,2,1,0,0,HB,DEU,Online TA,TA/TO,0,1,0,A,D,0,No Deposit,2,0,0,Transient,79.76,0,2,Canceled,2018-04-04,1,2,159.52,10,2017-10-18,Autumn,Leisure,0,1
City Hotel,0,288,2018,July,26,3,1,7,2,1,0,SC,CHE,Direct,GDS,1,0,4,C,A,2,No Deposit,10,0,10,Transient,148.47,0,0,Check-Out,2018-01-27,3,8,1187.76,7,2018-07-03,Summer,Group/Family,1,0
City Hotel,0,100,2017,March,18,14,3,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,B,A,2,No Deposit,7,0,15,Transient-Party,59.96,0,0,Check-Out,2015-12-27,2,4,239.84,3,2017-03-14,Spring,Leisure,1,0
City Hotel,1,85,2019,December,44,1,1,2,2,0,0,HB,ESP,Online TA,TA/TO,1,0,2,E,E,0,No Deposit,0,0,10,Transient,87.34,0,0,Canceled,2017-01-15,2,3,262.02,12,2019-12-01,Winter,Leisure,1,0
City Hotel,0,166,2016,August,2,7,1,3,2,0,0,BB,PRT,Online TA,Corporate,0,0,0,C,A,0,No Deposit,10,0,10,Transient,127.87,0,2,Check-Out,2016-05-31,2,4,511.48,8,2016-08-07,Summer,Leisure,1,1
City Hotel,0,19,2019,August,41,2,1,3,2,0,0,Undefined,DNK,Online TA,TA/TO,0,1,0,C,B,0,No Deposit,6,0,1,Transient,150.96,0,1,No-Show,2019-03-15,2,4,603.84,8,2019-08-02,Summer,Leisure,1,1
Resort Hotel,0,59,2018,December,6,10,2,4,1,0,0,BB,AUT,Corporate,Corporate,0,2,0,A,F,0,Non Refund,7,0,0,Transient,45.17,0,2,Check-Out,2015-08-09,1,6,271.02,12,2018-12-10,Winter,Leisure,1,1
Resort Hotel,1,204,2017,December,43,24,0,3,2,1,0,HB,AUT,Online TA,Direct,0,0,0,A,D,1,No Deposit,5,0,0,Group,68.03,0,0,Canceled,2018-02-04,3,3,204.09,12,2017-12-24,Winter,Group/Family,0,0
City Hotel,0,139,2017,August,30,25,4,3,2,1,0,Undefined,ITA,Offline TA/TO,Corporate,0,0,0,F,A,0,No Deposit,2,0,0,Transient,146.51,0,0,Check-Out,2016-12-07,3,7,1025.57,8,2017-08-25,Summer,Group/Family,1,0
Resort Hotel,0,45,2018,May,2,16,3,2,3,1,0,BB,PRT,Offline TA/TO,Direct,0,0,0,F,D,0,No Deposit,0,0,0,Transient,123.83,1,2,Check-Out,2017-02-10,4,5,619.15,5,2018-05-16,Spring,Group/Family,1,1
City Hotel,1,120,2018,December,26,12,2,2,2,0,0,BB,POL,Online TA,Corporate,1,0,2,D,C,2,No Deposit,6,0,0,Transient,67.28,0,2,Canceled,2018-08-29,2,4,269.12,12,2018-12-12,Winter,Leisure,1,1
City Hotel,1,123,2018,September,16,27,0,1,1,0,0,BB,NLD,Online TA,TA/TO,0,0,0,F,A,0,No Deposit,0,0,1,Transient,131.53,0,2,Canceled,2018-12-21,1,1,131.53,9,2018-09-27,Autumn,Leisure,0,1
City Hotel,0,156,2017,June,24,18,0,2,4,0,0,BB,ESP,Complementary,TA/TO,0,0,0,A,E,0,No Deposit,4,0,0,Transient,91.08,0,0,Check-Out,2018-11-26,4,2,182.16,6,2017-06-18,Summer,Group/Family,0,0
City Hotel,1,6,2018,August,46,6,0,4,1,1,0,BB,ESP,Direct,Direct,0,1,0,D,A,0,No Deposit,6,0,0,Transient,145.39,1,2,Canceled,2016-05-20,2,4,581.56,8,2018-08-06,Summer,Last-Minute,0,1
City Hotel,1,57,2019,June,48,27,0,2,2,0,1,BB,USA,Online TA,TA/TO,1,0,1,A,A,3,No Deposit,0,0,0,Transient,102.2,0,1,Canceled,2019-01-10,3,2,204.4,6,2019-06-27,Summer,Group/Family,0,1
City Hotel,0,395,2017,November,43,17,2,5,2,0,0,HB,AUT,Groups,Direct,1,0,2,A,E,1,Non Refund,4,0,0,Group,39.95,0,0,No-Show,2016-07-03,2,7,279.65,11,2017-11-17,Autumn,Leisure,1,0
City Hotel,1,35,2018,July,13,8,2,4,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,0,0,0,Transient,155.24,0,0,Canceled,2018-01-02,3,6,931.44,7,2018-07-08,Summer,Group/Family,1,0
City Hotel,0,93,2017,October,36,21,1,7,3,0,0,BB,ESP,Corporate,Direct,1,0,2,D,D,0,Refundable,0,0,0,Transient,73.83,0,0,Check-Out,2017-08-30,3,8,590.64,10,2017-10-21,Autumn,Group/Family,1,0
City Hotel,0,23,2018,October,44,9,1,4,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,1,0,A,A,2,No Deposit,0,0,0,Transient,70.29,1,0,Check-Out,2016-11-04,2,5,351.45,10,2018-10-09,Autumn,Leisure,1,0
Resort Hotel,1,1,2018,October,46,19,2,0,1,0,0,BB,PRT,Groups,Direct,0,0,0,A,B,0,No Deposit,0,0,0,Transient-Party,88.96,1,4,Canceled,2018-12-23,1,2,177.92,10,2018-10-19,Autumn,Last-Minute,1,1
City Hotel,0,151,2017,September,21,2,2,3,4,0,0,HB,USA,Corporate,TA/TO,1,0,5,A,A,2,No Deposit,2,0,0,Transient,101.47,1,0,Check-Out,2017-04-21,4,5,507.35,9,2017-09-02,Autumn,Group/Family,1,0
City Hotel,0,123,2016,November,10,7,0,2,2,0,2,BB,CHN,Online TA,TA/TO,0,0,0,A,B,2,No Deposit,4,0,0,Transient,74.1,1,1,Check-Out,2018-09-29,4,2,148.2,11,2016-11-07,Autumn,Group/Family,0,1
City Hotel,1,64,2016,June,38,11,2,6,3,0,0,BB,ESP,Direct,Corporate,0,1,0,A,A,2,No Deposit,0,0,0,Transient,95.52,0,0,Canceled,2016-07-06,3,8,764.16,6,2016-06-11,Summer,Group/Family,1,0
City Hotel,1,333,2018,March,35,23,0,4,2,0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10,0,0,Transient,64.54,1,2,Canceled,2018-04-07,2,4,258.16,3,2018-03-23,Spring,Leisure,0,1
City Hotel,0,179,2018,October,49,13,4,4,1,0,1,BB,FRA,Online TA,GDS,0,0,0,F,D,0,No Deposit,10,0,0,Transient,94.67,0,2,No-Show,2016-05-10,2,8,757.36,10,2018-10-13,Autumn,Leisure,1,1
City Hotel,0,37,2019,July,22,10,3,3,1,0,0,SC,FRA,Corporate,Corporate,0,0,0,D,A,1,No Deposit,0,0,0,Transient,120.14,0,0,Check-Out,2015-10-01,1,6,720.84,7,2019-07-10,Summer,Leisure,1,0
City Hotel,0,75,2018,March,45,15,0,6,3,1,0,BB,PRT,Offline TA/TO,TA/TO,1,0,1,D,C,1,Refundable,8,0,0,Transient,84.27,1,0,Check-Out,2017-07-07,4,6,505.62,3,2018-03-15,Spring,Group/Family,0,0
City Hotel,1,252,2017,March,34,21,1,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,7,0,0,Transient,69.28,0,3,Canceled,2017-07-30,2,2,138.56,3,2017-03-21,Spring,Leisure,1,1
City Hotel,0,2,2019,April,11,7,5,2,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,0,0,Transient-Party,86.03,0,3,Check-Out,2016-08-10,3,7,602.21,4,2019-04-07,Spring,Group/Family,1,1
City Hotel,0,104,2018,September,42,28,0,3,2,0,0,BB,PRT,Online TA,Corporate,0,0,0,A,A,1,No Deposit,4,0,0,Transient,79.57,2,1,Check-Out,2015-07-18,2,3,238.71,9,2018-09-28,Autumn,Leisure,0,1
City Hotel,0,31,2018,September,52,6,0,3,2,0,0,BB,NOR,Offline TA/TO,TA/TO,1,1,1,D,D,0,No Deposit,1,0,0,Transient,131.84,1,2,Check-Out,2017-09-21,2,3,395.52,9,2018-09-06,Autumn,Leisure,0,1
City Hotel,0,7,2016,April,7,25,2,4,1,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,B,C,1,No Deposit,0,0,1,Transient,71.79,0,2,Check-Out,2018-08-17,1,6,430.74,4,2016-04-25,Spring,Last-Minute,1,1
City Hotel,1,292,2017,October,41,12,1,4,1,0,0,BB,PRT,Online TA,GDS,0,2,0,A,A,0,No Deposit,5,0,0,Transient,80.63,1,2,Canceled,2015-09-13,1,5,403.15,10,2017-10-12,Autumn,Leisure,1,1
Resort Hotel,1,29,2019,May,50,3,5,1,1,0,0,BB,FRA,Online TA,TA/TO,0,0,0,C,A,0,No Deposit,0,1,10,Transient,116.1,1,0,Canceled,2018-01-10,1,6,696.6,5,2019-05-03,Spring,Corporate,1,0
City Hotel,0,24,2018,October,38,16,2,4,1,2,0,BB,FRA,Online TA,Corporate,1,0,3,G,B,0,No Deposit,0,0,0,Transient,89.91,1,1,Check-Out,2018-04-21,3,6,539.46,10,2018-10-16,Autumn,Group/Family,1,1
City Hotel,1,217,2017,July,31,20,4,2,2,0,0,BB,DEU,Complementary,Direct,1,0,1,D,D,0,No Deposit,0,0,0,Transient,132.72,0,1,Canceled,2017-11-02,2,6,796.32,7,2017-07-20,Summer,Leisure,1,1
City Hotel,0,18,2018,September,35,9,1,2,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,0,0,Transient-Party,137.35,1,0,Check-Out,2015-07-06,1,3,412.05,9,2018-09-09,Autumn,Leisure,1,0
Resort Hotel,0,300,2019,June,1,10,1,2,2,0,0,BB,DNK,Offline TA/TO,TA/TO,1,0,1,D,D,0,No Deposit,0,0,0,Transient,115.14,0,4,Check-Out,2015-10-19,2,3,345.42,6,2019-06-10,Summer,Leisure,1,1
City Hotel,1,155,2017,June,9,13,1,3,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,D,G,1,No Deposit,0,0,0,Contract,104.2,0,1,Canceled,2015-12-15,3,4,416.8,6,2017-06-13,Summer,Group/Family,1,1
City Hotel,1,91,2018,October,6,8,2,3,1,3,0,SC,BRA,Direct,Corporate,0,0,0,D,E,0,No Deposit,3,0,2,Transient,138.76,1,1,Canceled,2017-02-16,4,5,693.8,10,2018-10-08,Autumn,Group/Family,1,1
City Hotel,1,228,2019,January,29,26,2,2,3,0,0,BB,GBR,Direct,TA/TO,0,0,0,B,A,0,No Deposit,0,0,0,Transient,50.52,0,0,Canceled,2015-09-11,3,4,202.08,1,2019-01-26,Winter,Group/Family,1,0
City Hotel,1,115,2017,December,40,6,2,4,2,2,0,BB,RUS,Online TA,TA/TO,0,2,0,A,A,0,No Deposit,0,0,0,Transient,66.54,0,0,Canceled,2019-01-13,4,6,399.24,12,2017-12-06,Winter,Group/Family,1,0
City Hotel,0,67,2018,August,29,28,0,1,2,2,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,0,0,Transient-Party,150.82,0,1,No-Show,2018-01-22,4,1,150.82,8,2018-08-28,Summer,Group/Family,0,1
City Hotel,1,311,2018,July,50,3,1,1,3,0,0,BB,POL,Online TA,Direct,0,1,0,F,D,2,No Deposit,8,0,0,Transient,138.76,1,0,Canceled,2018-10-14,3,2,277.52,7,2018-07-03,Summer,Group/Family,1,0
Resort Hotel,0,63,2018,August,10,12,1,2,2,0,0,BB,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,2,0,0,Transient,174.71,1,2,Check-Out,2015-08-04,2,3,524.13,8,2018-08-12,Summer,Leisure,1,1
City Hotel,0,80,2017,March,22,9,4,1,2,0,0,BB,FIN,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,0,0,0,Transient,61.77,0,5,Check-Out,2016-07-02,2,5,308.85,3,2017-03-09,Spring,Leisure,1,1
Resort Hotel,0,86,2017,July,29,9,3,5,3,0,0,BB,NOR,Aviation,GDS,0,0,0,B,A,4,No Deposit,2,0,0,Transient,134.77,0,0,Check-Out,2017-06-27,3,8,1078.16,7,2017-07-09,Summer,Group/Family,1,0
Resort Hotel,0,55,2018,December,10,11,1,5,1,0,0,BB,FRA,Complementary,GDS,0,0,0,A,A,1,No Deposit,0,0,0,Transient,91.9,0,0,Check-Out,2017-12-07,1,6,551.4,12,2018-12-11,Winter,Leisure,1,0
City Hotel,1,93,2017,May,52,6,0,1,2,0,0,SC,PRT,Online TA,TA/TO,1,0,2,B,A,3,No Deposit,3,0,0,Transient,84.1,1,0,Canceled,2018-12-10,2,1,84.1,5,2017-05-06,Spring,Leisure,0,0
City Hotel,1,260,2018,September,25,2,0,2,3,0,0,BB,ESP,Direct,TA/TO,1,2,5,A,C,1,No Deposit,4,0,0,Transient-Party,113.29,1,1,Canceled,2016-06-13,3,2,226.58,9,2018-09-02,Autumn,Group/Family,0,1
City Hotel,1,66,2017,July,50,7,0,7,2,0,0,BB,FRA,Online TA,TA/TO,0,1,0,F,D,0,Refundable,0,0,0,Transient,113.77,1,1,Canceled,2018-10-26,2,7,796.39,7,2017-07-07,Summer,Leisure,0,1
City Hotel,1,45,2016,August,24,9,5,0,2,0,0,BB,POL,Online TA,Undefined,1,0,1,A,A,2,No Deposit,8,0,0,Transient-Party,165.5,0,2,Canceled,2016-11-30,2,5,827.5,8,2016-08-09,Summer,Leisure,1,1
City Hotel,0,437,2019,April,23,25,3,0,4,0,0,BB,PRT,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,2,0,0,Transient-Party,60.17,0,1,Check-Out,2015-11-02,4,3,180.51,4,2019-04-25,Spring,Group/Family,1,1
Resort Hotel,0,18,2018,July,52,19,0,4,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,0,0,Transient,178.17,0,1,Check-Out,2016-04-13,1,4,712.68,7,2018-07-19,Summer,Leisure,0,1
Resort Hotel,1,213,2019,December,5,18,0,2,2,0,0,HB,IRL,Online TA,Corporate,0,0,0,A,D,1,No Deposit,0,0,15,Transient,63.25,0,0,Canceled,2019-01-08,2,2,126.5,12,2019-12-18,Winter,Leisure,0,0
