hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,16,2018,January,31,9,0,6,1,2.0,0,BB,PRT,Corporate,GDS,0,0,0,C,G,0,Non Refund,,0.0,15,Transient,36.81,0,1,Check-Out,2017-06-11
Resort Hotel,0,91,2018,August,35,8,3,3,2,0.0,0,HB,PRT,Online TA,TA/TO,1,0,4,A,A,0,No Deposit,3.0,,0,Transient,125.24,1,1,Check-Out,2015-11-03
City Hotel,0,3,2016,August,7,20,3,1,4,2.0,0,BB,CHE,Aviation,TA/TO,0,0,0,B,A,1,Non Refund,10.0,,0,Transient,133.37,0,1,Check-Out,2015-11-10
City Hotel,0,110,2018,August,49,11,2,2,2,0.0,0,SC,ITA,Corporate,TA/TO,0,1,0,A,A,0,No Deposit,2.0,,1,Transient,125.14,0,4,No-Show,2016-09-28
Resort Hotel,1,42,2018,April,26,28,3,1,3,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,F,D,2,No Deposit,0.0,3.0,0,Transient,119.7,0,0,Canceled,2015-10-09
Resort Hotel,0,100,2018,August,24,24,1,1,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,G,C,0,Non Refund,8.0,,0,Transient,162.26,0,0,No-Show,2017-12-20
Resort Hotel,1,1,2019,February,33,11,1,7,3,0.0,1,BB,CHE,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,,0.0,0,Transient,90.68,0,0,Canceled,2016-03-16
City Hotel,0,193,2017,August,14,8,3,5,2,1.0,0,SC,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,4.0,,0,Transient,144.48,1,0,Check-Out,2019-03-05
City Hotel,0,441,2017,August,45,22,3,5,1,0.0,0,BB,ESP,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,5.0,,0,Transient,113.41,1,0,Check-Out,2017-06-27
Resort Hotel,0,149,2019,August,6,1,3,0,1,2.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,G,1,No Deposit,,,0,Transient-Party,150.58,0,2,Check-Out,2016-07-29
City Hotel,0,16,2018,November,11,2,1,2,1,0.0,0,BB,CHN,Corporate,TA/TO,1,1,1,B,A,4,No Deposit,1.0,,1,Transient,78.45,0,0,Check-Out,2016-10-04
City Hotel,1,199,2018,November,17,20,1,4,3,0.0,0,SC,PRT,Online TA,TA/TO,1,0,1,A,C,0,No Deposit,2.0,,0,Transient,35.15,0,3,Canceled,2018-10-26
City Hotel,0,142,2017,December,39,4,1,1,2,0.0,0,BB,FRA,Groups,TA/TO,1,0,1,A,D,0,No Deposit,6.0,,0,Transient,44.68,0,1,Check-Out,2019-04-30
City Hotel,0,369,2017,December,20,2,0,2,2,1.0,0,BB,BRA,Groups,Direct,0,0,0,G,G,1,No Deposit,0.0,,0,Contract,83.74,0,3,Check-Out,2018-08-10
Resort Hotel,0,21,2018,October,32,25,3,1,1,0.0,0,SC,ESP,Offline TA/TO,TA/TO,1,0,3,A,A,0,No Deposit,,,0,Transient,92.11,0,1,Check-Out,2017-04-25
City Hotel,1,53,2017,December,51,2,0,3,1,0.0,0,SC,ESP,Groups,GDS,0,0,0,D,A,0,No Deposit,6.0,,0,Transient,20.0,0,2,Canceled,2016-11-08
City Hotel,1,395,2019,November,37,13,1,4,2,0.0,0,BB,AUT,Offline TA/TO,Direct,0,0,0,C,G,0,No Deposit,1.0,,5,Transient,34.1,0,0,Canceled,2019-02-23
City Hotel,1,92,2019,September,15,22,0,2,3,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,4,No Deposit,,,0,Transient,90.43,0,2,Canceled,2016-04-30
City Hotel,0,1,2019,February,9,21,2,2,2,0.0,0,FB,Unknown,Direct,Corporate,0,0,0,D,C,0,No Deposit,4.0,,1,Transient,75.02,0,0,Check-Out,2017-10-29
City Hotel,1,77,2017,February,31,20,4,2,2,0.0,0,HB,BRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,4.0,,0,Group,55.06,1,0,Canceled,2016-05-04
City Hotel,0,0,2018,October,50,6,2,4,1,0.0,0,BB,CHN,Direct,Direct,0,1,0,A,B,0,No Deposit,3.0,,0,Group,107.98,1,2,Check-Out,2016-06-22
City Hotel,0,160,2017,July,39,4,4,3,1,0.0,2,BB,PRT,Online TA,TA/TO,1,0,1,D,A,0,No Deposit,2.0,,0,Transient,105.52,0,0,Check-Out,2016-04-05
Resort Hotel,1,114,2017,October,47,25,3,1,2,3.0,0,BB,IRL,Online TA,TA/TO,1,0,2,E,D,1,No Deposit,0.0,0.0,0,Transient,84.96,0,2,Canceled,2016-01-16
City Hotel,0,13,2016,May,15,27,3,1,3,1.0,0,BB,PRT,Aviation,Direct,0,0,0,C,C,0,No Deposit,8.0,0.0,0,Transient,136.27,1,4,Check-Out,2017-04-02
City Hotel,0,201,2017,June,40,26,0,4,2,2.0,0,BB,PRT,Direct,TA/TO,0,3,0,C,A,0,Non Refund,0.0,,0,Transient-Party,121.96,0,1,Check-Out,2017-01-03
Resort Hotel,0,5,2019,September,51,15,1,6,4,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,A,D,0,Non Refund,6.0,,15,Transient,150.78,1,2,Check-Out,2018-01-18
Resort Hotel,1,66,2017,November,35,23,2,3,1,0.0,0,BB,PRT,Direct,TA/TO,1,0,1,A,C,0,No Deposit,4.0,,0,Transient,63.43,0,0,Canceled,2017-01-19
City Hotel,1,20,2017,March,2,3,1,2,3,1.0,0,BB,BEL,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0.0,3.0,0,Transient,70.2,0,0,Canceled,2017-06-21
City Hotel,1,207,2019,November,12,28,3,1,1,0.0,0,BB,PRT,Groups,GDS,1,0,3,F,D,0,No Deposit,2.0,,5,Transient,70.58,0,0,Canceled,2017-12-14
City Hotel,1,52,2016,October,15,26,1,4,2,0.0,0,BB,Unknown,Corporate,TA/TO,0,0,0,G,D,1,No Deposit,4.0,,0,Transient,80.43,0,0,Canceled,2015-08-19
Resort Hotel,1,270,2018,May,39,4,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,A,2,Non Refund,0.0,,0,Transient,107.33,0,0,Canceled,2015-09-07
Resort Hotel,0,42,2017,June,11,17,3,5,2,0.0,0,Undefined,GBR,Groups,Direct,0,0,0,E,D,0,No Deposit,4.0,0.0,0,Transient,124.35,1,0,Check-Out,2016-07-02
Resort Hotel,0,220,2016,February,46,6,0,5,2,0.0,0,BB,RUS,Direct,TA/TO,1,0,1,G,E,1,No Deposit,2.0,,0,Transient,70.41,0,1,Check-Out,2015-07-21
City Hotel,1,173,2019,January,31,2,3,2,2,2.0,0,HB,BRA,Online TA,TA/TO,1,0,1,D,E,1,No Deposit,,0.0,0,Transient,54.91,0,1,Canceled,2018-03-31
Resort Hotel,0,108,2017,July,22,20,3,4,2,0.0,0,HB,AUT,Online TA,Direct,0,0,0,B,A,1,No Deposit,0.0,,0,Transient,169.89,0,1,Check-Out,2018-08-29
City Hotel,0,43,2018,March,15,13,1,2,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,B,F,0,No Deposit,0.0,,0,Transient-Party,57.69,0,2,Check-Out,2019-06-26
City Hotel,0,329,2017,April,52,15,1,4,3,0.0,0,BB,IRL,Corporate,Corporate,0,0,0,A,A,1,No Deposit,3.0,,0,Transient,70.83,0,1,Check-Out,2017-04-28
City Hotel,1,28,2016,October,42,5,4,1,2,0.0,0,HB,DEU,Online TA,TA/TO,0,0,0,E,G,1,No Deposit,1.0,,0,Contract,56.27,1,5,Canceled,2016-10-20
Resort Hotel,1,11,2016,August,44,28,3,2,2,1.0,0,BB,ESP,Direct,Corporate,0,0,0,A,A,0,No Deposit,,,0,Transient,134.11,1,1,Canceled,2017-08-11
City Hotel,0,142,2017,August,19,24,2,1,2,0.0,0,FB,FRA,Direct,TA/TO,0,0,0,B,A,0,No Deposit,,,0,Transient-Party,125.47,0,2,Check-Out,2018-05-07
Resort Hotel,0,261,2016,April,46,19,4,2,1,0.0,0,BB,BRA,Offline TA/TO,GDS,0,0,0,D,F,0,No Deposit,8.0,,0,Transient,94.5,0,2,Check-Out,2019-06-25
City Hotel,1,97,2018,October,50,6,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,2,0,F,D,0,No Deposit,,,0,Transient,101.74,0,0,Canceled,2015-10-25
City Hotel,0,318,2018,November,50,17,1,3,2,0.0,0,HB,FRA,Online TA,Direct,1,0,1,A,F,0,No Deposit,0.0,,0,Transient,87.13,0,1,Check-Out,2018-04-02
City Hotel,1,115,2017,July,15,25,1,4,2,0.0,0,BB,ESP,Aviation,GDS,0,0,0,G,A,0,No Deposit,7.0,,0,Transient-Party,147.05,0,0,Canceled,2016-12-27
City Hotel,0,90,2018,November,8,28,2,3,1,0.0,0,BB,PRT,Online TA,Direct,1,0,2,D,A,3,No Deposit,2.0,,0,Contract,50.13,0,0,Check-Out,2017-01-31
Resort Hotel,1,3,2019,October,3,1,5,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,E,A,1,No Deposit,3.0,,0,Contract,78.1,0,1,Canceled,2017-03-24
City Hotel,1,186,2019,September,8,2,4,2,3,0.0,0,HB,BEL,Online TA,TA/TO,1,0,1,B,A,0,No Deposit,0.0,,0,Transient-Party,88.16,1,1,Canceled,2019-07-28
Resort Hotel,0,42,2018,September,41,1,2,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,3,No Deposit,1.0,,0,Contract,167.49,0,1,Check-Out,2017-03-25
Resort Hotel,1,79,2019,March,35,8,0,2,2,1.0,0,BB,PRT,Online TA,TA/TO,1,0,3,B,E,2,No Deposit,9.0,,0,Transient-Party,99.07,2,1,Canceled,2018-02-13
Resort Hotel,1,43,2017,May,15,4,4,3,1,0.0,0,BB,FRA,Corporate,Corporate,0,1,0,D,A,0,No Deposit,10.0,,5,Transient-Party,123.81,1,0,Canceled,2017-09-18
City Hotel,1,25,2017,February,10,18,4,1,3,1.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,,,0,Transient,41.93,0,0,Canceled,2016-02-27
City Hotel,0,215,2018,January,31,23,0,3,1,1.0,0,BB,ITA,Groups,TA/TO,0,0,0,E,A,0,No Deposit,9.0,,0,Transient,59.85,0,1,Check-Out,2017-06-02
City Hotel,1,4,2018,April,50,24,4,1,2,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,D,0,No Deposit,0.0,,1,Transient,91.16,0,0,Canceled,2019-05-07
Resort Hotel,0,69,2018,November,9,9,1,2,3,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient,47.74,1,0,Check-Out,2016-07-30
Resort Hotel,1,45,2018,May,39,15,0,3,4,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,G,G,0,No Deposit,9.0,,1,Transient,92.13,1,0,Canceled,2015-11-20
City Hotel,0,80,2019,December,42,16,4,2,1,0.0,0,BB,CHE,Online TA,GDS,0,1,0,A,B,0,No Deposit,0.0,,0,Transient,88.7,2,5,Check-Out,2017-02-09
Resort Hotel,0,14,2019,August,46,21,0,1,1,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,B,C,1,No Deposit,3.0,,0,Transient-Party,105.31,0,1,Check-Out,2017-05-06
City Hotel,0,170,2018,May,18,3,0,3,2,0.0,0,SC,FRA,Offline TA/TO,TA/TO,0,0,0,E,E,3,No Deposit,6.0,,0,Transient,119.67,0,1,Check-Out,2018-06-19
City Hotel,1,262,2018,July,29,1,5,5,2,0.0,0,BB,NOR,Online TA,Direct,0,0,0,B,A,0,No Deposit,0.0,,0,Transient,133.35,0,1,Canceled,2015-08-13
City Hotel,0,39,2017,April,15,24,1,3,1,0.0,0,BB,USA,Offline TA/TO,Corporate,0,0,0,A,D,2,Non Refund,1.0,,0,Transient,57.12,0,1,No-Show,2015-10-03
Resort Hotel,1,41,2017,December,19,13,2,3,1,0.0,0,BB,DEU,Online TA,TA/TO,0,1,0,A,B,0,No Deposit,7.0,,0,Transient,90.88,0,0,Canceled,2017-05-14
City Hotel,0,500,2017,October,12,14,4,2,2,0.0,0,HB,PRT,Offline TA/TO,Corporate,0,0,0,C,A,0,No Deposit,4.0,,0,Transient,94.52,0,2,Check-Out,2017-03-29
Resort Hotel,1,8,2018,January,30,6,4,3,2,0.0,0,BB,ESP,Online TA,Direct,0,0,0,D,A,0,No Deposit,0.0,,3,Transient,72.0,0,2,Canceled,2019-03-10
Resort Hotel,0,69,2016,December,32,5,0,2,1,3.0,0,BB,USA,Online TA,TA/TO,1,0,5,F,B,0,No Deposit,0.0,,0,Transient,90.65,0,1,Check-Out,2019-07-31
Resort Hotel,1,55,2019,September,30,23,2,4,2,0.0,1,BB,PRT,Online TA,GDS,1,0,4,B,B,1,No Deposit,5.0,,0,Transient-Party,123.87,0,2,Canceled,2018-01-06
City Hotel,1,272,2017,March,1,5,0,1,2,2.0,0,BB,PRT,Offline TA/TO,Corporate,1,0,2,A,D,2,No Deposit,,,0,Transient-Party,90.51,0,0,Canceled,2017-06-15
City Hotel,0,70,2018,September,23,27,0,2,2,0.0,0,BB,AUT,Online TA,Direct,0,0,0,D,A,0,Non Refund,,,0,Transient,126.32,0,1,Check-Out,2016-09-10
City Hotel,0,121,2016,August,50,4,4,2,2,2.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,3.0,,0,Transient,148.98,1,3,Check-Out,2019-03-16
City Hotel,1,90,2017,April,46,21,1,1,1,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,2.0,0.0,0,Transient-Party,94.12,1,1,Canceled,2016-09-24
City Hotel,1,51,2019,September,46,12,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,G,C,0,No Deposit,,,0,Transient,119.64,0,0,Canceled,2015-09-16
Resort Hotel,0,12,2018,March,12,14,2,6,4,0.0,0,BB,DEU,Online TA,Corporate,0,0,0,A,A,1,No Deposit,8.0,,0,Transient,99.87,0,0,Check-Out,2017-11-08
City Hotel,1,195,2019,July,36,27,0,2,2,0.0,0,BB,RUS,Online TA,GDS,0,1,0,A,B,2,No Deposit,4.0,,0,Transient-Party,153.61,0,1,Canceled,2019-03-05
City Hotel,1,11,2019,January,16,23,5,3,1,0.0,0,Undefined,PRT,Complementary,TA/TO,0,0,0,A,D,0,No Deposit,,,0,Transient,57.75,0,0,Canceled,2016-03-12
City Hotel,0,112,2017,December,29,14,2,4,2,2.0,0,BB,DEU,Online TA,Corporate,0,0,0,E,E,0,No Deposit,0.0,,0,Transient,46.04,0,3,Check-Out,2017-10-09
City Hotel,0,108,2017,September,48,11,1,7,2,0.0,0,BB,ESP,Online TA,Corporate,1,0,4,D,A,0,No Deposit,0.0,0.0,0,Transient-Party,134.84,0,1,Check-Out,2018-10-17
City Hotel,0,48,2019,April,5,22,1,2,3,2.0,0,BB,ESP,Complementary,Direct,0,1,0,D,A,1,No Deposit,0.0,,0,Transient,89.05,0,0,Check-Out,2018-01-24
City Hotel,0,17,2019,June,15,10,4,3,2,0.0,1,BB,FRA,Direct,Corporate,0,0,0,F,G,0,Non Refund,,,7,Transient,115.57,0,0,Check-Out,2019-05-27
Resort Hotel,1,41,2018,April,18,10,4,6,1,1.0,1,BB,IRL,Offline TA/TO,GDS,1,0,1,A,A,1,No Deposit,0.0,,2,Transient,72.01,0,0,Canceled,2015-08-31
City Hotel,1,74,2018,September,9,28,4,2,2,0.0,0,FB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,4.0,,0,Transient-Party,76.77,1,0,Canceled,2015-10-26
Resort Hotel,0,33,2018,February,39,27,2,4,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,1,0,4,A,A,1,No Deposit,2.0,,0,Transient,81.27,0,1,Check-Out,2016-09-14
Resort Hotel,0,55,2017,October,47,9,4,2,2,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,D,1,No Deposit,9.0,,2,Transient,91.77,0,1,Check-Out,2019-03-23
City Hotel,0,9,2018,December,36,26,2,1,3,0.0,0,HB,GBR,Corporate,TA/TO,0,0,0,A,D,2,Non Refund,5.0,,0,Transient,79.63,0,3,Check-Out,2015-12-02
Resort Hotel,0,9,2019,September,43,2,2,6,2,0.0,0,BB,ESP,Corporate,TA/TO,0,0,0,D,D,0,Refundable,1.0,,0,Transient,114.44,1,3,Check-Out,2017-07-14
City Hotel,0,14,2018,April,27,14,2,4,1,2.0,0,BB,Unknown,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient,81.11,1,0,Check-Out,2018-07-05
Resort Hotel,0,60,2016,June,38,7,2,5,3,0.0,0,BB,BEL,Online TA,Direct,1,0,5,A,A,0,No Deposit,0.0,,0,Transient,105.26,0,1,Check-Out,2017-05-04
City Hotel,1,139,2017,July,46,17,2,1,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,1,0,2,A,A,1,No Deposit,4.0,,1,Transient-Party,149.97,0,0,Canceled,2017-11-05
Resort Hotel,1,80,2017,August,41,24,0,4,2,0.0,0,HB,IRL,Offline TA/TO,GDS,0,0,0,E,A,0,No Deposit,0.0,,2,Transient,150.78,1,0,Canceled,2016-11-23
Resort Hotel,0,61,2017,August,35,20,0,3,3,0.0,0,HB,NLD,Offline TA/TO,Direct,0,0,0,B,C,0,No Deposit,2.0,,0,Transient-Party,175.04,0,2,Check-Out,2019-02-13
Resort Hotel,1,24,2019,August,8,8,4,2,2,0.0,0,BB,DEU,Groups,TA/TO,0,0,0,A,D,2,No Deposit,0.0,,0,Transient,166.16,0,1,Canceled,2016-07-22
Resort Hotel,0,41,2016,June,41,24,2,1,1,1.0,0,BB,CHE,Online TA,Undefined,0,0,0,A,A,0,No Deposit,4.0,,0,Group,150.6,1,3,Check-Out,2015-10-15
City Hotel,0,92,2017,November,52,20,4,2,2,0.0,0,BB,FRA,Corporate,Direct,0,0,0,B,A,0,No Deposit,5.0,,0,Transient-Party,73.57,0,2,Check-Out,2016-12-17
City Hotel,1,55,2017,March,24,4,2,3,2,0.0,1,BB,USA,Offline TA/TO,TA/TO,1,1,3,A,D,0,No Deposit,6.0,,0,Transient-Party,93.41,0,0,Canceled,2018-06-01
City Hotel,0,135,2018,July,15,5,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,1,0,1,B,D,1,No Deposit,,,5,Transient,134.43,1,0,Check-Out,2015-10-07
City Hotel,0,96,2018,October,25,13,1,1,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,G,D,1,No Deposit,6.0,,0,Transient,116.01,0,0,Check-Out,2017-11-28
Resort Hotel,0,27,2017,February,12,7,3,2,2,0.0,0,BB,ESP,Online TA,GDS,0,0,0,D,A,3,No Deposit,0.0,,0,Transient,91.1,0,2,Check-Out,2019-06-20
City Hotel,1,218,2017,September,42,6,0,2,3,0.0,0,HB,Unknown,Online TA,GDS,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,94.48,0,2,Canceled,2019-08-03
Resort Hotel,0,23,2017,October,33,17,0,4,4,0.0,0,BB,NLD,Corporate,Corporate,0,0,0,F,A,4,No Deposit,1.0,0.0,0,Transient,93.52,0,0,Check-Out,2015-12-08
City Hotel,1,61,2018,August,14,6,0,0,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0.0,,0,Transient,110.66,0,1,Canceled,2018-07-23
Resort Hotel,1,65,2017,January,20,19,2,4,4,0.0,2,BB,NLD,Offline TA/TO,TA/TO,0,2,0,A,D,0,No Deposit,2.0,,0,Transient,61.85,0,1,Canceled,2018-09-20
City Hotel,0,24,2019,April,11,25,0,4,1,0.0,0,BB,PRT,Online TA,Direct,0,0,0,D,A,4,No Deposit,2.0,,0,Transient-Party,52.43,0,1,Check-Out,2016-11-20
Resort Hotel,0,83,2018,June,45,3,0,3,2,0.0,0,BB,USA,Offline TA/TO,Undefined,0,0,0,F,A,0,No Deposit,5.0,,0,Transient,138.08,0,0,Check-Out,2017-08-16
Resort Hotel,0,2,2016,May,21,9,3,5,3,1.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,7.0,,0,Transient,62.16,0,0,Check-Out,2017-03-14
City Hotel,0,84,2018,December,7,21,5,2,4,0.0,0,BB,CHN,Offline TA/TO,Corporate,0,1,0,A,D,0,No Deposit,0.0,,0,Transient,58.66,0,0,Check-Out,2017-06-04
City Hotel,0,51,2017,August,24,28,5,1,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient,141.4,0,0,Check-Out,2019-03-07
Resort Hotel,0,70,2018,May,16,26,4,2,2,0.0,0,BB,IRL,Corporate,Corporate,1,3,2,D,A,1,No Deposit,2.0,,0,Transient,121.97,2,0,Check-Out,2017-02-28
City Hotel,0,3,2017,November,31,15,0,3,3,0.0,0,BB,Unknown,Online TA,Corporate,1,0,2,G,B,2,No Deposit,,,0,Transient-Party,29.8,1,0,Check-Out,2018-06-18
City Hotel,0,27,2018,September,13,8,1,2,2,0.0,0,SC,FIN,Online TA,TA/TO,0,1,0,D,B,0,No Deposit,,,0,Transient,117.48,0,3,Check-Out,2018-10-16
City Hotel,0,20,2018,May,20,25,0,3,2,2.0,0,HB,Unknown,Offline TA/TO,TA/TO,1,0,3,A,D,0,No Deposit,0.0,0.0,5,Transient,102.89,0,1,Check-Out,2016-04-30
City Hotel,1,160,2019,June,21,25,2,0,4,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,5.0,,7,Transient,71.36,1,2,Canceled,2017-06-11
City Hotel,1,44,2017,April,14,23,3,1,1,0.0,0,BB,GBR,Online TA,TA/TO,0,1,0,A,G,0,No Deposit,2.0,0.0,0,Transient,44.16,0,2,Canceled,2016-08-05
City Hotel,1,177,2017,December,37,26,2,0,2,0.0,0,FB,FRA,Online TA,Direct,0,0,0,E,A,1,No Deposit,1.0,,0,Transient,80.22,0,0,Canceled,2019-03-16
City Hotel,0,5,2018,July,31,15,1,6,2,0.0,0,BB,PRT,Direct,TA/TO,0,0,0,E,A,0,No Deposit,0.0,,0,Contract,129.38,0,1,Check-Out,2015-11-29
City Hotel,1,112,2019,November,6,1,4,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,5.0,,1,Transient,60.68,0,1,Canceled,2015-08-19
Resort Hotel,0,64,2019,June,3,8,2,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,3,No Deposit,,,0,Transient,125.52,0,0,Check-Out,2017-01-27
City Hotel,0,24,2016,November,26,23,0,5,4,0.0,0,BB,RUS,Corporate,TA/TO,0,0,0,E,A,0,No Deposit,0.0,4.0,0,Group,70.13,0,1,Check-Out,2015-07-16
Resort Hotel,0,48,2017,February,33,4,2,1,1,1.0,0,BB,FIN,Online TA,TA/TO,1,0,1,G,A,0,No Deposit,0.0,2.0,0,Transient,120.73,0,1,Check-Out,2018-02-06
City Hotel,0,63,2018,December,48,22,0,1,2,0.0,0,BB,FRA,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Group,35.2,0,0,Check-Out,2016-11-19
City Hotel,0,101,2017,November,25,10,0,2,2,0.0,0,BB,IRL,Corporate,TA/TO,0,0,0,G,A,0,No Deposit,1.0,,0,Transient,60.6,1,0,Check-Out,2016-08-06
City Hotel,1,4,2017,June,37,16,2,3,2,0.0,0,HB,POL,Direct,TA/TO,0,0,0,A,A,1,No Deposit,2.0,,0,Group,97.2,0,2,Canceled,2018-04-21
City Hotel,1,188,2017,October,43,18,3,3,2,0.0,1,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,4.0,,3,Transient,50.75,0,0,Canceled,2018-07-03
City Hotel,0,40,2018,September,30,4,0,2,4,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,117.15,0,1,Check-Out,2017-09-22
City Hotel,0,141,2019,November,29,8,2,3,4,0.0,0,BB,PRT,Direct,TA/TO,0,0,0,A,D,0,No Deposit,2.0,,3,Transient,58.75,0,1,Check-Out,2018-06-15
City Hotel,0,171,2019,May,33,4,3,4,2,0.0,0,BB,GBR,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,72.13,0,0,Check-Out,2017-12-26
City Hotel,0,14,2017,July,20,10,4,4,2,0.0,0,BB,CHE,Online TA,TA/TO,0,1,0,E,G,0,No Deposit,0.0,0.0,0,Transient,94.97,0,4,Check-Out,2015-10-15
Resort Hotel,0,22,2018,November,10,20,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,7.0,,0,Transient,82.77,1,1,Check-Out,2018-03-22
City Hotel,0,154,2019,October,45,4,0,3,2,0.0,0,BB,GBR,Online TA,Corporate,0,0,0,A,D,0,No Deposit,3.0,,0,Transient,94.71,0,5,Check-Out,2019-02-02
City Hotel,0,31,2017,June,26,16,0,4,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient,101.45,0,1,Check-Out,2019-08-08
Resort Hotel,0,134,2018,October,27,12,4,1,2,0.0,0,BB,POL,Direct,TA/TO,0,0,0,A,E,0,No Deposit,0.0,,0,Transient,118.7,0,3,Check-Out,2015-11-30
City Hotel,0,44,2018,February,30,10,0,3,4,0.0,1,BB,PRT,Groups,Direct,0,0,0,A,G,2,No Deposit,2.0,,0,Transient,72.48,0,3,Check-Out,2016-12-19
City Hotel,0,61,2017,October,7,25,3,1,3,0.0,0,BB,NLD,Corporate,Corporate,0,0,0,B,D,1,No Deposit,0.0,0.0,7,Contract,121.21,0,0,No-Show,2018-10-27
Resort Hotel,0,13,2018,April,11,11,1,3,3,0.0,2,BB,FRA,Online TA,TA/TO,1,0,1,E,D,1,No Deposit,2.0,,0,Transient,66.91,1,1,Check-Out,2016-03-16
City Hotel,1,19,2016,May,4,2,1,3,3,0.0,0,FB,PRT,Complementary,TA/TO,0,1,0,A,A,0,No Deposit,4.0,,0,Transient,61.63,0,1,Canceled,2017-12-26
Resort Hotel,0,26,2018,July,22,16,2,1,2,1.0,2,BB,PRT,Groups,TA/TO,0,0,0,D,A,0,No Deposit,0.0,,0,Transient-Party,151.89,0,0,Check-Out,2018-12-22
Resort Hotel,0,97,2017,July,46,23,0,5,3,0.0,0,BB,GBR,Direct,TA/TO,1,0,2,C,D,3,Non Refund,7.0,0.0,0,Contract,131.72,0,3,Check-Out,2016-03-05
City Hotel,0,25,2017,July,49,19,3,4,2,0.0,0,BB,POL,Online TA,Direct,1,1,1,A,C,1,No Deposit,6.0,,0,Transient,93.22,0,3,Check-Out,2018-11-02
City Hotel,0,63,2017,August,1,12,1,4,1,0.0,0,BB,SWE,Online TA,TA/TO,1,0,1,A,A,0,No Deposit,0.0,,0,Transient,115.21,1,2,Check-Out,2019-05-22
City Hotel,1,57,2019,June,21,4,2,2,2,0.0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,119.94,0,0,Canceled,2018-12-26
